,BukkenName,Price,Address,Space,Type,Belanda,Build,Line,Station,Walk,DaysAgo,City,Street,Number,Latitude,Longitude
0,インペリアルお茶の水,1380,東京都千代田区神田小川町３,14.84,ワンルーム,2.28,1980-08-01,東京メトロ千代田線,新御茶ノ水,4,15779,東京都,千代田区,神田小川町３,35.6952553,139.7620134
1,オーベル早稲田,1900,東京都新宿区若松町２８－１６,21.19,ワンルーム,1.94,1988-02-01,都営大江戸線,若松河田,2,13039,東京都,新宿区,若松町２８－１６,35.7005714,139.7184845
2,西落合ローヤルコーポ,2080,東京都新宿区西落合１-１７－１３,37.12,1LDK,5.7,1977-07-01,都営大江戸線,落合南長崎,4,16906,東京都,新宿区,西落合１-１７－１３,35.7225047,139.6807287
3,ライオンズマンション白山駅前,2280,東京都文京区白山１,26.37,ワンルーム,3.56,1986-04-01,都営三田線,白山,1,13710,東京都,文京区,白山１,35.7192057,139.7530694
4,日商岩井日本橋浜町マンション,2280,東京都中央区日本橋中洲５－１,26.42,ワンルーム,4.83,1979-09-01,東京メトロ半蔵門線,水天宮前,5,16114,東京都,中央区,日本橋中洲５－１,35.6826921,139.7900969
5,フジタ新富マンション,2350,東京都中央区新富１-６－５,27.09,ワンルーム,3.0,1980-02-01,東京メトロ有楽町線,新富町,3,15961,東京都,中央区,新富１-６－５,35.6728528,139.7734848
6,ハイムお茶の水,2470,東京都文京区本郷３-4-5,39.15,1LDK,4.27,1977-12-01,東京メトロ丸ノ内線,御茶ノ水,6,16753,東京都,文京区,本郷,35.7036954,139.7631816
7,扶桑ハイツ早稲田,2480,東京都新宿区西早稲田１-9-10,36.0,1LDK,3.3,1984-03-01,東京メトロ東西線,早稲田,8,14471,東京都,新宿区,西早稲田,35.7102622,139.7204094
8,南青山コンド,2490,東京都港区南青山２,24.33,ワンルーム,3.24,1972-08-01,東京メトロ銀座線,青山一丁目,4,18701,東京都,港区,南青山２,35.6652799,139.723053
9,富士マンション,2499,東京都渋谷区笹塚３,37.87,1LDK,3.06,1972-03-01,京王線,笹塚,8,18854,東京都,渋谷区,笹塚３,35.6779603,139.667531
10,麻布霞町マンション,2780,東京都港区西麻布４-1-1,42.33,1LDK,4.15,1966-05-01,東京メトロ日比谷線,六本木,8,20985,東京都,港区,西麻布,35.6593708,139.7232526
11,♪ADCASTセレクション！！中野坂上マンション♪,2780,東京都渋谷区本町３,36.82,1LDK,4.3,1970-05-01,都営大江戸線,西新宿五丁目,4,19524,東京都,渋谷区,本町３,35.689852,139.6828422
12,麻布霞町マンション,2780,東京都港区西麻布４-1-1,42.33,ワンルーム,4.15,1966-05-01,東京メトロ日比谷線,六本木,8,20985,東京都,港区,西麻布,35.6593708,139.7232526
13,本郷マンション,2980,東京都文京区西片１,56.62,2LDK,,1963-12-01,都営三田線,春日,3,21867,東京都,文京区,西片１,35.7128348,139.754347
14,グランドメゾン田町,2980,東京都港区芝浦２,35.34,1LDK,7.13,1983-01-01,ＪＲ山手線,田町,10,14896,東京都,港区,芝浦２,35.6446055,139.7530694
